Alumno,HorasEstudio,ParticipacionForo,UsoCampusVirtual,SatisfaccionGeneral,Claridad,Profesorado,Edad,NotaFinal,Fecha
A1,2,1.0,5,3,2,3,17,6.5,2025-04-01
A2,5,5.0,4,5,5,5,18,8.2,2025-04-01
A3,3,2.0,3,4,4,4,17,7.1,2025-04-01
A4,4,4.0,5,4,4,4,18,7.5,2025-04-01
A5,,1.0,2,2,2,2,16,5.2,2025-04-01
A6,6,5.0,4,5,5,5,19,8.8,2025-04-01
A7,5,4.0,4,5,5,5,18,8.3,2025-04-01
A8,tres,2.0,2,3,3,3,17,6.0,2025-04-01
A9,2,1.0,1,2,2,3,18,5.5,2025-04-01
A10,4,3.0,3,4,4,4,19,7.0,2025-04-01
A11,3,2.0,3,4,3,4,16,6.8,2025-04-08
A12,4,4.0,4,3,4,3,17,7.4,2025-04-08
A13,6,5.0,5,5,5,5,18,9.0,2025-04-08
A14,5,,3,4,4,4,19,8.1,2025-04-08
A15,3,3.0,4,4,4,4,17,7.2,2025-04-08
A16,,3.0,3,3,3,3,16,6.3,2025-04-08
A17,4,1.0,2,2,2,3,18,6.0,2025-04-08
A18,3,2.0,3,4,3,4,17,7.0,2025-04-08
A19,2,5.0,4,5,4,5,19,8.6,2025-04-08
A20,5,4.0,5,5,5,5,18,8.4,2025-04-08
